"Nf","NfSE","Nm","NmSE"
NA,NA,NA,NA
23,9,67,22
71,50,151,75
NA,NA,NA,NA
23,8,151,87
30,11,164,82
24,9,128,57
19,13,53,16
23,7,111,50
17,8,187,108
46,26,195,112
34,17,128,52
18,5,69,24
36,14,61,25
NA,NA,NA,NA
13,3,98,44
NA,NA,NA,NA
29,10,118,53
27,15,87,35
2,0,155,69
38,17,115,51
22,9,98,35
26,13,135,60
57,28,79,28
31,14,98,35
18,7,165,95
20,6,59,22
17,7,85,34
10,4,167,83
26,10,113,46
35,14,142,82
79,39,123,55
48,34,183,91
47,33,111,55
15,5,147,73
54,31,103,42
30,13,68,23
NA,NA,NA,NA
21,9,170,85
21,6,44,14
30,17,150,67
15,4,84,32
11,3,68,23
7,3,89,33
25,12,135,60
21,7,87,33
NA,NA,NA,NA
28,16,81,30
36,16,126,56
21,7,88,36
26,10,41,13
9,3,177,88
43,21,114,46
NA,NA,NA,NA
12,5,79,28
NA,NA,NA,NA
63,36,81,28
17,7,167,83
43,25,46,14
NA,NA,NA,NA
6,3,113,42
33,19,127,63
15,7,65,23
35,14,186,107
23,9,61,20
38,17,121,49
18,8,55,15
19,6,138,61
9,3,86,35
65,37,80,32
34,17,116,44
24,9,76,27
70,34,179,103
27,10,126,63
20,6,93,35
NA,NA,NA,NA
42,21,116,52
23,9,72,24
22,8,59,20
NA,NA,NA,NA
41,20,103,42
NA,NA,NA,NA
28,9,105,47
23,9,111,49
10,4,101,50
21,7,86,35
NA,NA,NA,NA
22,10,165,82
18,7,130,58
48,18,87,35
11,4,117,44
14,4,60,20
24,8,195,112
43,19,114,51
6,3,201,100
45,20,81,33
27,13,142,82
17,5,60,20
13,4,127,63
NA,NA,NA,NA
